HERCULES is running
Intialising 
	 Reading input file 
	 Run name: Earth_correct_params_S3.20c_L3_N100_Nm1000_k6_f121_p10_l1_0_1.5
	 Input file read successful
	 Initialisation by reading start file ../../Earth_correct_params_S3.20c/Earth_correct_params_S3.20c_AM2.1/Output/Earth_correct_params_S3.20c_L2.1_N100_Nm1000_k6_f121_p10_l1_0_1.5_final
	 Initialisation complete
Itterating
	 Main Itteration # 	 convergence 	 a 	 aspect 	 ellipticity 	 l 	 omega_rot 	 Mass error 	 AM error 
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	3	1.47458e-06	2.66017e+11	8.92042e+06	0.000745103	0	1.39352e-15
	 	 	4	1.94078e-07	2.66017e+11	8.92042e+06	0.000745103	0	1.39352e-15
	 	 	5	4.57251e-08	2.66017e+11	8.92042e+06	0.000745103	0	-2.78704e-15
	 	 	6	3.4474e-08	2.66017e+11	8.92042e+06	0.000745103	0	-5.22571e-16
	 	 	7	1.17172e-08	2.66017e+11	8.92042e+06	0.000745103	0	3.4838e-16
	 	 	8	2.74222e-09	2.66017e+11	8.92042e+06	0.000745103	0	3.4838e-16
	 15	5.17707e-06	8.92042e+06	0.487322	0.873222	1.79188	0.000745103	1.79787e-16	3.4838e-16
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66017e+11	8.9203e+06	0.000745103	0	-6.96761e-16
	 	 	2	3.35292e-06	2.66016e+11	8.9203e+06	0.000745104	0	0
	 	 	3	1.13991e-06	2.66015e+11	8.92029e+06	0.000745104	0	-1.91609e-15
	 	 	4	1.54664e-07	2.66015e+11	8.92029e+06	0.000745104	0	5.92247e-15
	 	 	5	3.18657e-08	2.66015e+11	8.92029e+06	0.000745104	0	-6.96761e-16
	 	 	6	2.5309e-08	2.66015e+11	8.92029e+06	0.000745104	0	-1.39352e-15
	 	 	7	8.70207e-09	2.66015e+11	8.92029e+06	0.000745104	0	-1.7419e-15
	 16	3.87539e-06	8.92029e+06	0.487327	0.873219	1.79185	0.000745104	5.39361e-16	-1.7419e-15
		 Mass/AM Itteration # 	 convergence 	 p_core 	 a 	 omega_rot 	 edge corot 	 AM error 
	 	 	1	1	2.66015e+11	8.9202e+06	0.000745104	0	-2.78704e-15
	 	 	2	2.58921e-06	2.66015e+11	8.9202e+06	0.000745104	0	2.26447e-15
	 	 	3	8.73117e-07	2.66014e+11	8.9202e+06	0.000745104	0	1.7419e-15
	 	 	4	1.20306e-07	2.66014e+11	8.9202e+06	0.000745104	0	3.4838e-16
